Time,Drag Force
70680,151.35
70692,179.41
70703,208.7
70715,194.84
70726,163.63
70738,131.18
70749,112.07
70761,98.39
70772,94.0
70784,83.65
70795,62.78
70807,69.27
70818,96.63
70830,106.8
70841,94.53
70853,94.18
70864,116.1
70876,153.1
70887,185.9
70899,205.72
70910,204.49
70922,198.7
70933,196.95
70945,204.67
70956,206.77
70968,206.94
70979,211.15
70991,208.87
71002,206.42
71013,208.17
71025,216.77
71036,228.17
71048,208.52
71059,189.41
71071,183.62
71082,199.93
71094,220.27
71105,227.46
71117,193.97
71128,162.05
71140,154.86
71151,197.83
71163,244.48
71174,250.44
71186,216.77
71197,198.7
71209,202.03
71220,229.39
71232,245.0
71243,220.98
71255,206.59
71266,220.98
71278,239.57
71289,225.71
71301,193.62
71312,169.76
71324,184.67
71335,203.09
71347,214.66
71358,180.46
71370,154.68
71381,166.08
71393,202.74
71404,243.6
71416,237.11
71427,196.42
71439,139.78
71450,159.24
71462,215.89
71473,249.04
71485,230.97
71496,188.0
71508,154.68
71519,166.08
71531,205.02
71542,227.11
71554,217.82
71565,233.43
71577,269.55
71588,262.36
71600,210.45
71611,168.89
71623,197.47
71634,242.02
71646,278.85
71657,282.71
71669,272.71
71680,267.1
71691,270.61
71703,300.25
71714,330.94
71726,354.44
71737,334.79
71749,316.91
71760,329.88
71772,337.95
71783,315.33
71795,290.25
71806,287.44
71818,276.57
71829,266.4
71841,282.88
71852,287.62
71864,242.55
71875,186.6
71887,143.63
71898,168.36
71910,196.95
71921,177.13
71933,106.63
71944,46.12
71956,27.36
71967,34.55
71979,41.56
71990,41.92
72002,45.25
72013,45.77
72025,59.98
72036,64.19
72048,42.44
72059,34.55
72071,68.75
72082,104.0
72094,113.47
72105,92.6
72117,90.14
72128,106.1
72140,132.06
72151,138.72
72163,171.87
72174,186.95
72186,170.47
72197,145.56
72209,158.37
72220,200.98
72232,221.85
72243,208.17
72255,214.14
72266,229.92
72278,231.85
72289,242.55
72301,278.67
72312,295.69
72324,283.76
72335,279.02
72347,286.74
72358,306.03
72370,311.82
72381,311.82
72393,312.0
72404,318.84
72416,325.85
72427,313.05
72439,306.56
72450,306.38
72461,296.21
72473,294.98
72485,313.4
72496,317.78
72507,288.32
72519,270.96
72530,276.57
72542,281.83
72553,281.48
72565,268.33
72576,263.77
72588,263.77
72599,260.96
72611,250.09
72622,231.15
72634,203.09
72645,199.05
72657,223.25
72668,229.39
72680,198.7
72691,161.52
72703,143.63
72714,141.88
72726,144.16
72737,137.14
72749,120.48
72760,119.43
72772,130.31
72783,125.04
72795,101.89
72806,81.55
72818,94.7
72829,115.4
72841,133.46
72852,126.8
72864,101.54
72875,84.71
72887,108.21
72898,138.02
72910,143.81
72921,138.55
72933,138.72
72944,149.25
72956,155.73
72967,154.86
72979,153.81
72990,157.14
73002,184.15
73013,213.96
73025,205.54
73036,185.72
73048,185.02
73059,213.61
73071,252.37
73082,263.24
73094,222.55
73105,170.99
73117,179.59
73128,217.29
73140,227.11
73151,198.18
73163,167.31
73174,150.3
73186,130.13
73197,119.61
73209,123.99
73220,128.73
73232,121.71
73243,117.85
73255,108.91
73266,91.72
73277,73.66
73289,54.19
73300,59.63
73312,87.51
73323,115.4
73335,123.11
73346,96.28
73358,73.31
73369,82.43
73381,137.5
73392,187.13
73404,185.55
73415,135.92
73427,107.33
73438,147.14
73450,191.86
73461,190.81
73473,152.4
73484,116.27
73496,118.2
73507,154.86
73519,167.31
73530,146.09
73542,127.15
73553,141.7
73565,149.6
73576,151.35
73588,139.95
73599,138.37
73611,146.79
73622,167.31
73634,153.45
73645,106.63
73657,102.6
73668,132.41
73680,165.21
73691,175.55
73703,196.6
73714,188.0
73726,168.19
73737,159.94
73749,170.12
73760,176.43
73772,193.09
73783,195.19
73795,164.85
73806,127.85
73818,131.71
73829,162.57
73841,196.25
73852,203.96
73864,182.74
73875,155.91
73887,162.05
73898,185.2
73910,174.68
73921,158.89
73933,155.73
73944,165.38
73956,164.33
73967,159.24
73979,161.7
73990,178.71
74002,195.55
74013,203.96
74025,193.44
74036,187.13
74048,189.06
74059,186.6
74071,182.22
74082,141.7
74094,133.99
74105,144.51
74117,170.12
74128,168.54
74140,153.81
74151,136.97
74162,120.31
74174,120.83
74185,119.61
74197,108.38
74208,102.24
74220,104.17
74231,92.07
74243,71.38
74254,66.47
74266,90.67
74277,117.33
74289,128.73
74300,133.46
74312,123.64
74323,102.07
74335,96.11
74346,104.17
74358,119.43
74369,129.78
74381,139.6
74392,149.77
74404,169.41
74415,195.37
74427,218.34
74438,230.8
74450,226.59
74461,199.58
74473,188.0
74484,220.45
74496,259.21
74507,253.77
74519,222.03
74530,194.84
74542,211.15
74553,248.33
74565,226.59
74576,164.85
74588,150.65
74599,180.29
74611,183.44
74622,110.49
74634,43.14
74645,22.27
74657,61.56
74668,117.5
74680,131.36
74691,82.43
74703,0.53
74714,-11.57
74726,56.12
74737,125.39
74749,102.6
74760,30.16
74772,13.5
74783,73.48
74795,99.96
74806,54.37
74818,13.85
74829,45.42
74841,111.36
74852,139.6
74864,89.09
74875,27.71
74887,8.94
74898,49.81
74910,95.58
74921,93.48
74933,62.78
74944,48.23
74956,62.61
74967,62.61
74979,66.64
74990,65.42
75002,65.42
75013,96.81
75025,110.49
75036,91.72
75048,24.9
75059,-1.23
75071,53.49
75082,119.26
75094,124.34
75105,78.39
75116,56.3
75128,67.52
75139,77.87
75151,43.14
75162,36.65
75174,79.97
75185,128.38
75197,105.05
75208,39.81
75220,-4.91
75231,-12.28
75243,33.5
75254,78.04
75266,105.05
75277,63.84
75289,41.39
75300,62.96
75312,96.46
75323,89.27
75335,54.54
75346,58.05
75358,102.07
75369,129.43
75381,93.48
75392,42.44
75404,50.16
75415,89.44
75427,115.4
75438,126.97
75450,109.44
75461,88.21
75473,79.45
75484,101.72
75496,110.14
75507,84.01
75519,55.07
75530,61.03
75542,73.31
75553,54.54
75565,45.25
75576,45.42
75588,81.02
75599,95.76
75611,71.03
75622,33.67
75634,14.56
75645,17.89
75657,29.64
75668,43.32
75680,47.35
75691,27.18
75703,-1.93
75714,-23.68
75726,-29.46
75737,-11.57
75749,15.43
75760,40.34
75772,36.13
75783,3.16
75795,-17.19
75806,-16.84
75818,3.51
75829,23.68
75841,26.83
75852,28.24
75864,27.18
75875,-0.7
75887,-15.08
75898,-5.79
75910,-0.35
75921,12.1
75933,41.56
75944,70.15
75956,60.86
75967,20.17
75979,-5.96
75990,3.33
76002,-2.28
76013,3.33
76025,38.58
76036,68.57
76048,80.5
76059,54.54
76071,23.33
76082,34.37
76094,56.12
76105,68.75
76117,68.4
76128,55.07
76140,19.29
76151,-21.92
76163,-51.74
76174,-43.49
76186,-32.27
76197,-35.25
76209,-18.59
76220,-17.19
76232,-56.12
76243,-74.89
76255,-81.37
76266,-59.63
76277,-59.63
76289,-68.05
76300,-82.6
76312,-82.6
76323,-94.0
76335,-88.04
76346,-56.65
76358,-37.36
76369,-30.34
76381,-35.25
76392,-49.81
76404,-50.86
76415,-54.54
76427,-41.92
76438,-31.57
76450,-56.65
76461,-88.57
76473,-107.51
76484,-86.64
76496,-49.46
76507,-25.61
76519,-26.48
76530,-34.37
76542,-49.46
76553,-92.77
76565,-76.82
76576,-45.25
76588,-28.94
76599,-37.0
76611,-31.92
76622,-29.29
76634,-60.15
76645,-76.11
76657,-70.15
76668,-29.99
76680,23.85
76691,32.44
76703,-52.96
76714,-127.67
76726,-109.79
76737,-55.07
76749,23.5
76760,6.49
76772,-76.46
76783,-122.59
76795,-91.9
76806,-20.17
76818,7.19
76829,-6.84
76841,-16.49
76852,-5.79
76864,18.77
76875,13.33
76887,-14.91
76898,-23.85
76910,36.48
76921,111.54
76933,126.27
76944,113.47
76956,85.23
76967,103.12
76979,114.0
76990,144.69
77002,142.76
77013,111.72
77025,88.04
77036,97.51
77048,108.56
77059,102.95
77071,94.0
77082,90.32
77094,86.29
77105,88.92
77117,97.69
77128,105.23
77140,76.64
77151,19.64
77163,0.53
77174,23.15
77186,41.39
77197,41.92
77209,32.27
77220,20.34
77232,4.38
77243,-22.27
77255,-40.86
77266,-40.16
77278,-24.9
77289,-7.54
77301,12.98
77312,9.65
77324,-21.92
77335,-58.05
77347,-80.15
77358,-56.3
77370,-45.07
77381,-63.66
77393,-54.02
77404,-46.65
77416,-28.41
77427,-50.51
77439,-69.45
77450,-89.44
77462,-62.61
77473,-20.69
77484,22.62
77496,42.44
77507,6.49
77519,-47.7
77530,-60.51
77542,-28.24
77553,2.46
77565,-0.53
77576,19.64
77588,78.39
77599,121.71
77611,86.81
77622,30.52
77634,18.94
77645,62.96
77657,126.27
77668,166.61
77680,189.58
77691,185.9
77703,148.9
77714,120.13
77726,131.88
77737,174.15
77749,182.04
77760,194.14
77772,244.3
77783,282.36
77795,263.59
77806,199.23
77818,137.14
77829,112.77
77841,148.72
77852,210.1
77864,228.69
77875,182.04
77887,101.72
77898,32.62
77910,44.72
77921,123.29
77933,156.79
77944,102.42
77956,52.61
77967,57.0
77979,57.17
77990,33.67
78002,-11.05
78013,-42.97
78025,-24.73
78036,17.89
78048,44.72
78059,24.73
78071,3.51
78082,10.35
78094,21.75
78105,25.25
78117,10.17
78128,-18.59
78140,-16.13
78151,31.74
78163,84.01
78174,52.26
78186,-4.91
78197,-54.89
78209,-13.68
78220,43.32
78232,71.73
78243,76.82
78255,71.55
78266,61.38
78278,47.53
78289,41.04
78301,52.61
78312,67.34
78324,79.27
78335,93.65
78347,113.64
78358,121.19
78370,106.98
78381,107.68
78393,130.66
78404,130.66
78416,115.05
78427,115.05
78439,139.6
78450,161.7
78462,139.6
78473,119.43
78485,126.27
78496,125.75
78508,119.26
78519,120.13
78531,138.72
78542,177.48
78554,204.31
78565,187.83
78577,156.44
78588,117.15
78600,130.31
78611,193.09
78623,228.17
78634,210.28
78646,155.38
78657,119.96
78669,120.83
78680,116.27
78692,91.55
78703,79.97
78715,103.47
78726,147.32
78738,160.12
78749,127.32
78761,60.33
78772,23.85
78784,45.95
78795,94.88
78807,119.26
78818,114.17
78830,104.35
78841,66.47
